case,sequence_length,gqa_group,selection_pattern,provider,route,status,batch_repetitions,median_wall_ms,min_wall_ms,max_wall_ms,median_cuda_event_ms,branch_query_tokens_per_second,extra_peak_allocated_bytes
n4096_g1_random,4096,1,random,fla,,not_timed,,,,,,,
n4096_g1_random,4096,1,random,nsa,nsa_triton_forward,measured,36,3.065708722222856,2.9550075277787378,3.6061068055535848,3.340391159057617,1336069.5262106017,4259840
n4096_g1_random,4096,1,random,fsa,fsa_specialized,measured,19,5.393842526317664,4.9718102105352475,5.892308578950178,5.882954246119449,759384.42400103,57032704
n4096_g1_recent,4096,1,recent,fla,,not_timed,,,,,,,
n4096_g1_recent,4096,1,recent,nsa,nsa_triton_forward,measured,33,3.477854666664026,3.3304959696937604,3.811999393940024,3.4739655003403174,1177737.5401166207,4259840
n4096_g1_recent,4096,1,recent,fsa,fsa_specialized,measured,15,6.464818200007964,5.121740999993563,7.8765067999938765,6.462474568684896,633583.1686643491,35397632
n4096_g4_random,4096,4,random,fla,,not_timed,,,,,,,
n4096_g4_random,4096,4,random,nsa,nsa_triton_forward,measured,31,3.649948645165897,3.460001645158451,3.945345161289351,3.6587768062468498,1122207.5700776961,17039360
n4096_g4_random,4096,4,random,fsa,fsa_specialized,measured,10,10.546165100004146,7.953441400013617,12.860497599990595,10.530649566650391,388387.6234782623,82591744
n4096_g4_recent,4096,4,recent,fla,,not_timed,,,,,,,
n4096_g4_recent,4096,4,recent,nsa,nsa_triton_forward,measured,28,3.315989392855759,3.1215263571441807,3.6573572857118313,3.6117142268589566,1235227.111650224,17039360
n4096_g4_recent,4096,4,recent,fsa,fsa_specialized,measured,12,8.13033508332713,7.371802416666166,9.646908416679404,8.867794672648111,503792.2739986034,60694528
n4096_g8_random,4096,8,random,fla,,not_timed,,,,,,,
n4096_g8_random,4096,8,random,nsa,nsa_triton_forward,measured,30,3.506896799998079,3.295421933338124,3.935229600006096,3.820489501953125,1167984.1847647878,34078720
n4096_g8_random,4096,8,random,fsa,fsa_specialized,measured,10,12.083503999997447,11.44179670000085,13.03214829999888,13.172390747070313,338974.5226219866,116670464
n4096_g8_recent,4096,8,recent,fla,,not_timed,,,,,,,
n4096_g8_recent,4096,8,recent,nsa,nsa_triton_forward,measured,28,3.4452593214301226,3.284890964282892,4.02621707142511,3.753387451171875,1188880.028426933,34078720
n4096_g8_recent,4096,8,recent,fsa,fsa_specialized,measured,10,12.68599819998144,11.480256599998029,13.48914089999198,13.827133178710938,322875.6567225425,94773248
n4096_g16_random,4096,16,random,nsa,nsa_triton_forward,measured,32,3.7399448124944,3.5119738125004574,3.8809356874978107,4.075386047363281,1095203.3266148986,68157440
n4096_g16_random,4096,16,random,fla,fla_selected_forward,measured,33,3.313184787878003,3.109782515152939,3.7535735757570143,3.610266251997514,1236272.7291837432,68157440
n4096_g16_random,4096,16,random,fsa,fsa_nsa_fallback,measured,31,3.7554893870991135,3.5176178064522254,4.276274193546581,4.0928329959992436,1090670.1038939455,68157440
n4096_g16_recent,4096,16,recent,nsa,nsa_triton_forward,measured,29,3.9073311724113693,3.519057172415442,4.210444862063264,4.0550687066439925,1048285.8552970303,68157440
n4096_g16_recent,4096,16,recent,fla,fla_selected_forward,measured,31,3.473003903221275,3.1149291935508376,3.7162833870987075,3.6207907892042592,1179382.492545109,68157440
n4096_g16_recent,4096,16,recent,fsa,fsa_nsa_fallback,measured,29,3.8961888965488845,3.5319683793047796,4.116871999995369,4.040919073696794,1051283.7310398635,68157440
n8192_g1_random,8192,1,random,fla,,not_timed,,,,,,,
n8192_g1_random,8192,1,random,nsa,nsa_triton_forward,measured,15,7.000645466663021,6.767242333323035,8.170790599994385,7.1052734375,1170177.812747438,8519680
n8192_g1_random,8192,1,random,fsa,fsa_specialized,measured,18,6.4214239444406,5.128284833340836,9.389527555564806,6.524044460720486,1275729.5065516257,152462336
n8192_g1_recent,8192,1,recent,fla,,not_timed,,,,,,,
n8192_g1_recent,8192,1,recent,nsa,nsa_triton_forward,measured,15,6.519206333329445,6.288082799998544,7.703070400005648,7.102154541015625,1256594.6805699945,8519680
